"","index","sentiment","method"
"1","ALB",1.31771894093686,"AFINN"
"2","ARE",0.928057553956835,"AFINN"
"3","ARG",1.89189189189189,"AFINN"
"4","ARM",2,"AFINN"
"5","ASM",3,"AFINN"
"6","AUS",1.4552071668533,"AFINN"
"7","AUT",2.0094476744186,"AFINN"
"8","BEL",2,"AFINN"
"9","BGD",1.53221118914992,"AFINN"
"10","BGR",2.12459016393443,"AFINN"
"11","BRA",1.87203791469194,"AFINN"
"12","BRB",2.47058823529412,"AFINN"
"13","CAN",1.05136294800606,"AFINN"
"14","CHL",1.30882352941176,"AFINN"
"15","COL",1.14624505928854,"AFINN"
"16","CRI",-1.18068181818182,"AFINN"
"17","CZE",2.53086419753086,"AFINN"
"18","DEU",1.90825035561878,"AFINN"
"19","DNK",1.36298932384342,"AFINN"
"20","DOM",0.888888888888889,"AFINN"
"21","DZA",0.677049180327869,"AFINN"
"22","ECU",2.69491525423729,"AFINN"
"23","EGY",1.9070796460177,"AFINN"
"24","ESP",2.52631578947368,"AFINN"
"25","EST",2.5,"AFINN"
"26","ETH",2.44444444444444,"AFINN"
"27","FIN",0.394578313253012,"AFINN"
"28","FRA",0.578168362627197,"AFINN"
"29","GBR",0.853930287232955,"AFINN"
"30","GHA",-1,"AFINN"
"31","GMB",2.62112676056338,"AFINN"
"32","GRC",1.11341991341991,"AFINN"
"33","GTM",2.47761194029851,"AFINN"
"34","HKG",0.336755646817248,"AFINN"
"35","HRV",3,"AFINN"
"36","IDN",0.387218045112782,"AFINN"
"37","IND",0.977186083118486,"AFINN"
"38","IRL",1.08945686900958,"AFINN"
"39","IRQ",1.42647058823529,"AFINN"
"40","ISL",1.3499245852187,"AFINN"
"41","ITA",1.49096385542169,"AFINN"
"42","JAM",0.13781512605042,"AFINN"
"43","JPN",1.26758409785933,"AFINN"
"44","KAZ",2,"AFINN"
"45","KEN",2.02347417840376,"AFINN"
"46","KNA",1.335,"AFINN"
"47","KOR",2.4,"AFINN"
"48","KWT",0.0923694779116466,"AFINN"
"49","LKA",2.13915857605178,"AFINN"
"50","LTU",0.822810590631365,"AFINN"
"51","LVA",2.13,"AFINN"
"52","MAR",1.17857142857143,"AFINN"
"53","MDA",2.40350877192982,"AFINN"
"54","MEX",0.551420176297747,"AFINN"
"55","MKD",1.64908073541167,"AFINN"
"56","MLT",0.992592592592593,"AFINN"
"57","MUS",1.18965517241379,"AFINN"
"58","MYS",0.852910052910053,"AFINN"
"59","NGA",0.964285714285714,"AFINN"
"60","NIC",1.37163814180929,"AFINN"
"61","NLD",0.0508474576271186,"AFINN"
"62","NOR",3,"AFINN"
"63","NPL",0.424448217317487,"AFINN"
"64","NZL",0.869304812834225,"AFINN"
"65","PAK",0.879009105077516,"AFINN"
"66","PER",1.68320610687023,"AFINN"
"67","PHL",1.41576695864738,"AFINN"
"68","POL",1.75706214689266,"AFINN"
"69","PRI",-0.121761658031088,"AFINN"
"70","PRT",1.41109785202864,"AFINN"
"71","ROU",0.625463535228677,"AFINN"
"72","RUS",0.922818791946309,"AFINN"
"73","SAU",1.46179401993355,"AFINN"
"74","SGP",2.72340425531915,"AFINN"
"75","SLV",0.946666666666667,"AFINN"
"76","SRB",1.46223277909739,"AFINN"
"77","SVN",2.10992907801418,"AFINN"
"78","SWE",1.05109489051095,"AFINN"
"79","TCA",3,"AFINN"
"80","THA",1.74615384615385,"AFINN"
"81","TTO",2.48,"AFINN"
"82","TUR",1.4988085782367,"AFINN"
"83","TWN",0.824644549763033,"AFINN"
"84","UGA",0.481203007518797,"AFINN"
"85","UKR",1.14757709251101,"AFINN"
"86","UMI",1.90566037735849,"AFINN"
"87","URY",0.436170212765957,"AFINN"
"88","USA",1.22526736543102,"AFINN"
"89","VEN",1.03411318781859,"AFINN"
"90","VIR",1.3609756097561,"AFINN"
"91","VNM",1.68769716088328,"AFINN"
"92","ZAF",0.904615384615385,"AFINN"
"93","ZMB",-1,"AFINN"
"94",NA,0.729013693193094,"AFINN"
